Date,SCHD,JEPQ,JEPI,TLT,SHY,SGOV,QQQ,SPY,VYM,HDV,DVY,NOBL,DHS,SPYD,QYLD,RYLD,XYLD,PFFD
2018-10-23,,,,,,,,,,,,,0.185,,,,,
2018-10-24,,,,,,,,,,,,,,,0.247,,0.247,
2018-11-01,,,,0.275,0.146,,,,,,,,,,,,,
2018-11-05,,,,,,,,,,,,,,,,,,0.115
2018-11-20,,,,,,,,,,,,,0.145,,,,,
2018-11-21,,,,,,,,,,,,,,,0.225,,0.233,
2018-12-03,,,,0.267,0.142,,,,,,,,,,,,,
2018-12-06,,,,,,,,,,,,,,,,,,0.115
2018-12-17,,,,,,,,,,0.709,0.755,,,,,,,
2018-12-18,,,,0.282,0.119,,,,,,,,,,,,,
2018-12-21,,,,,,,,1.435,,,,,,0.443,,,,
2018-12-24,,,,,,,0.421,,0.739,,,,0.298,,,,,
2018-12-26,,,,,,,,,,,,0.42,,,,,,
2018-12-28,,,,,,,,,,,,,,,0.172,,0.388,0.115
2019-01-22,,,,,,,,,,,,,0.12,,,,,
2019-01-23,,,,,,,,,,,,,,,0.217,,0.227,
2019-02-01,,,,0.275,0.152,,,,,,,,,,,,,
2019-02-05,,,,,,,,,,,,,,,,,,0.115
2019-02-19,,,,,,,,,,,,,0.135,,,,,
2019-02-20,,,,,,,,,,,,,,,0.185,,0.235,
2019-03-01,,,,0.253,0.154,,,,,,,,,,,,,
2019-03-05,,,,,,,,,,,,,,,,,,0.115
2019-03-15,,,,,,,,1.233,,,,,,0.339,,,,
2019-03-18,,,,,,,0.324,,,,,,,,,,,
2019-03-20,,,,,,,,,,0.822,0.871,0.24,,,0.204,,0.239,
2019-03-25,,,,,,,,,0.652,,,,,,,,,
2019-03-26,,,,,,,,,,,,,0.25,,,,,
2019-04-01,,,,0.278,0.164,,,,,,,,,,,,,
2019-04-03,,,,,,,,,,,,,,,,,,0.115
2019-04-23,,,,,,,,,,,,,0.23,,,,,
2019-04-24,,,,,,,,,,,,,,,0.179,,0.245,
2019-05-01,,,,0.259,0.156,,,,,,,,,,,,,
2019-05-03,,,,,,,,,,,,,,,,,,0.115
2019-05-22,,,,,,,,,,,,,,,0.211,0.235,0.24,
2019-05-28,,,,,,,,,,,,,0.27,,,,,
2019-06-03,,,,0.27,0.169,,,,,,,,,,,,,
2019-06-05,,,,,,,,,,,,,,,,,,0.115
2019-06-17,,,,,,,,,0.625,0.75,0.882,,,,,,,
2019-06-21,,,,,,,,1.432,,,,,,0.462,,,,
2019-06-24,,,,,,,0.416,,,,,,0.21,,,,,
2019-06-25,,,,,,,,,,,,0.386,,,,,,
2019-06-26,0.140333,,,,,,,,,,,,,,0.215,0.223,0.244,
2019-07-01,,,,0.26,0.156,,,,,,,,,,,,,
2019-07-03,,,,,,,,,,,,,,,,,,0.115
2019-07-23,,,,,,,,,,,,,0.195,,,,,
2019-07-24,,,,,,,,,,,,,,,0.171,0.137,0.251,
2019-08-01,,,,0.264,0.15,,,,,,,,,,,,,
2019-08-05,,,,,,,,,,,,,,,,,,0.115
2019-08-21,,,,,,,,,,,,,,,0.227,0.251,0.242,
2019-08-27,,,,,,,,,,,,,0.28,,,,,
2019-09-03,,,,0.26,0.146,,,,,,,,,,,,,
2019-09-05,,,,,,,,,,,,,,,,,,0.114
2019-09-20,,,,,,,,1.384,,,,,,0.448,,,,
2019-09-23,,,,,,,0.384,,,,,,,,,,,
2019-09-24,,,,,,,,,0.786,0.857,0.956,,0.205,,,,,
2019-09-25,,,,,,,,,,,,0.364,,,0.175,0.212,0.243,
2019-10-01,,,,0.25,0.135,,,,,,,,,,,,,
2019-10-03,,,,,,,,,,,,,,,,,,0.114
2019-10-22,,,,,,,,,,,,,0.19,,,,,
2019-10-23,,,,,,,,,,,,,,,0.177,0.168,0.245,
2019-11-01,,,,0.246,0.14,,,,,,,,,,,,,
2019-11-05,,,,,,,,,,,,,,,,,,0.114
2019-11-20,,,,,,,,,,,,,,,0.195,0.251,0.251,
2019-11-25,,,,,,,,,,,,,0.265,,,,,
2019-12-02,,,,0.241,0.134,,,,,,,,,,,,,
2019-12-04,,,,,,,,,,,,,,,,,,0.114
2019-12-16,,,,,,,,,,0.779,0.891,,,,,,,
2019-12-19,,,,0.218,0.137,,,,,,,,,,,,,
2019-12-20,,,,,,,,1.57,,,,,,0.497,,,,
2019-12-23,,,,,,,0.458,,0.779,,,,0.482,,,,,
2019-12-24,,,,,,,,,,,,0.44,,,,,,
2019-12-30,,,,,,,,,,,,,,,0.165,0.166,0.256,0.114
2020-01-21,,,,,,,,,,,,,0.12,,0.199,0.196,0.259,
2020-02-03,,,,0.242,0.135,,,,,,,,,,,,,
2020-02-05,,,,,,,,,,,,,,,,,,0.114
2020-02-24,,,,,,,,,,,,,,,0.238,0.239,0.26,
2020-02-25,,,,,,,,,,,,,0.3,,,,,
2020-03-02,,,,0.229,0.125,,,,,,,,,,,,,
2020-03-04,,,,,,,,,,,,,,,,,,0.114
2020-03-10,,,,,,,,,0.554,,,,,,,,,
2020-03-20,,,,,,,,1.406,,,,,,0.396,,,,
2020-03-23,,,,,,,0.363,,,,,,,,0.181,0.159,0.183,
2020-03-25,0.147333,,,,,,,,,0.914,0.947,0.344,,,,,,
2020-04-01,,,,0.238,0.106,,,,,,,,,,,,,
